who WP O
pla VVZ O
luk NN B-character.name
on IN O
sta NN B-movie.name
war NNS I-movie.name
new JJ I-movie.name
hop NN I-movie.name
  
sho NN O
cre NNS O
for IN O
the DT B-movie.name
god NN I-movie.name
  
who WP O
was VBD O
the DT O
mai JJ O
act NN O
in IN O
the DT B-movie.name
exo NN I-movie.name
  
fin VV O
the DT O
fem JJ O
act NN O
fro IN O
the DT O
mov NN O
she PP B-movie.name
's VBZ I-movie.name
the DT I-movie.name
man NN I-movie.name
  
who WP O
pla VVD O
dor NN B-character.name
on IN O
fin VVG B-movie.name
nem NN I-movie.name
  
who WP O
was VBD O
the DT O
fem JJ O
lea NN O
in IN O
res JJ B-movie.name
evi NN I-movie.name
  
who WP O
pla VVD O
gui NN B-character.name
in IN O
lif NN B-movie.name
is VBZ I-movie.name
bea JJ I-movie.name
  
who WP O
was VBD O
the DT O
co- NN O
in IN O
sho NN B-movie.name
to TO I-movie.name
kil VV I-movie.name
  
fin VV O
the DT O
guy NN O
who WP O
pla VVZ O
cha NN B-character.name
on IN O
cha NN B-movie.name
's POS I-movie.name
ang NNS I-movie.name
  
cas NN O
and CC O
cre NN O
of IN O
mov NN O
the DT B-movie.name
cam NN I-movie.name
  
cas NN O
and CC O
cre NN O
of IN O
the DT B-movie.name
cam NN I-movie.name
  
who WP O
pla VVZ O
in IN O
the DT O
mov NN O
the DT B-movie.name
cam NN I-movie.name
  
who WP O
sta VVD O
in IN O
the DT B-movie.name
cam NN I-movie.name
  
who WP O
wer VBD O
the DT O
cre NN O
for IN O
the DT B-movie.name
cam NN I-movie.name
  
who WP O
was VBD O
the DT O
lea JJ O
man NN O
in IN O
tax NN B-movie.name
dri NN I-movie.name
  
sta NN O
of IN O
twi NN B-movie.name
  
who WP O
sta VVZ O
in IN O
vul NN B-movie.name
  
wha WP O
are VBP O
the DT O
nam NNS O
of IN O
fem JJ O
act NNS O
who WP O
pla VVD O
in IN O
los VVN B-movie.name
  
can MD O
i NNS O
see VV O
the DT O
set VVN O
lis NN O
and CC O
cas NN O
for IN O
lif NN B-movie.name
is VBZ I-movie.name
bea JJ I-movie.name
  
cas NN O
and CC O
cre NN O
of IN O
lif NN B-movie.name
is VBZ I-movie.name
bea JJ I-movie.name
  
sho NN O
cas NN O
and CC O
cre NN O
for IN O
the DT O
mov NN O
lif NN B-movie.name
is VBZ I-movie.name
bea JJ I-movie.name
  
wha WP O
's VBZ O
the DT O
cas NN O
for IN O
lif NN B-movie.name
is VBZ I-movie.name
bea JJ I-movie.name
  
who WP O
pla VVD O
in IN O
lif NN B-movie.name
is VBZ I-movie.name
bea JJ I-movie.name
  
who WP O
pla VVD O
in IN O
lif NN B-movie.name
is VBZ I-movie.name
bea JJ I-movie.name
  
who WP O
was VBD O
in IN O
lif NN B-movie.name
is VBZ I-movie.name
bea JJ I-movie.name
  
who WP O
wer VBD O
rob NP B-actor.name
ben NP I-actor.name
's POS O
cos NNS O
on IN O
lif NN B-movie.name
is VBZ I-movie.name
bea JJ I-movie.name
  
i NNS O
am VBP O
loo VVG O
for IN O
the DT O
act NN O
tha WDT O
pla VVD O
in IN O
pre JJ B-movie.name
wom NNS I-movie.name
  
sta NN O
of IN O
tro NN B-movie.name
  
who WP O
pla VVD O
rob NN B-character.name
in IN O
bat NN B-movie.name
for RB I-movie.name
  
fin VV O
the DT O
mal JJ O
act NN O
fro IN O
dir JJ B-movie.name
har VVP I-movie.name
  
sho VV O
me PP O
the DT O
act NN O
of IN O
the DT O
ran NP B-movie.name
  
roc JJ B-movie.name
act NN O
  
wha WP O
act NN O
pla VVN O
in IN O
the DT B-movie.name
ama JJ I-movie.name
spi NN I-movie.name
man NN I-movie.name
  
who WP O
are VBP O
the DT O
act NNS O
in IN O
cap NN B-movie.name
ame NN I-movie.name
  
who WP O
sta VVD O
in IN O
cap NN B-movie.name
ame NN I-movie.name
  
who WP O
was VBD O
in IN O
the DT O
mov NN O
cap NN B-movie.name
ame NN I-movie.name
  
who WP O
wer VBD O
the DT O
cas NN O
mem NNS O
in IN O
the DT B-movie.name
hob NN I-movie.name
  
sho VV O
me PP O
the DT O
act NN O
of IN O
the DT O
mov NN O
var NN B-movie.name
  
whi WDT O
fem JJ O
act NNS O
sta VVN O
in IN O
hit NN B-movie.name
  
can MD O
i NNS O
see VV O
the DT O
cas NN O
and CC O
cre NN O
for IN O
the DT O
mov NN O
in IN B-movie.name
jul RB I-movie.name
  
lis NN O
cas NN O
and CC O
cre NN O
in IN B-movie.name
jul RB I-movie.name
  
who WP O
sta VVZ O
in IN O
in IN B-movie.name
jul NN I-movie.name
  
who WP O
sta VVZ O
in IN O
in IN B-movie.name
jul NN I-movie.name
  
rol NN O
cre NNS O
for IN O
top JJ B-movie.name
gun NN I-movie.name
  
sho VV O
me PP O
the DT O
act NN O
of IN O
the DT O
mov NN O
sir NN B-movie.name
muv NN I-movie.name
  
roc JJ B-movie.name
2 CD O
act NN O
  
who WP O
is VBZ O
che NN B-character.name
  
who WP O
sta VVD O
in IN O
i NP B-movie.name
lov NN I-movie.name
luc NN I-movie.name
  
apo NN B-movie.name
thi CD I-movie.name
cas NN O
mem NNS O
  
can MD O
you PP O
tel VV O
me PP O
mor JJR O
abo IN O
the DT O
cas NN O
and CC O
cre NN O
of IN O
the DT O
mov NN O
apo NN B-movie.name
thi CD I-movie.name
  
cas NN O
and CC O
cre NN O
for IN O
apo NN B-movie.name
thi CD I-movie.name
  
cas NNS O
of IN O
apo NN B-movie.name
thi CD I-movie.name
  
com JJ O
cas NN O
and CC O
cre NN O
of IN O
apo NN B-movie.name
thi CD I-movie.name
  
fin VV O
for IN O
inf NN O
abo IN O
the DT O
cas NN O
of IN O
app NP B-movie.name
thi CD I-movie.name
  
fin VV O
inf NN O
on IN O
the DT O
cre NN O
of IN O
apo NN B-movie.name
thi CD I-movie.name
  
giv VV O
me PP O
mor JJR O
fac NNS O
abo IN O
the DT O
cas NN O
and CC O
cre NN O
of IN O
the DT O
mov NN O
apo NN B-movie.name
thi CD I-movie.name
  
i NNS O
nee VVP O
to TO O
kno VV O
in IN O
det NN O
abo IN O
the DT O
cas NN O
and CC O
cre NN O
of IN O
the DT O
mov NN O
